rep,Ne,n0,n1,L,pi0,pi1,relative_change,num_sites
0,100,20,20,1000000,0.003964694736842144,0.003706884210526261,-6.502657667945139,17506
0,100,50,50,1,0.0,0.0,,0
0,100,50,50,2,0.0,0.0,,0
0,100,50,50,5,0.0,0.0,,0
0,100,50,50,10,0.0,0.0,,0
0,100,50,50,20,0.005755102040816327,0.003918367346938775,-31.91489361702128,1
0,100,50,50,50,0.0008,0.0,-100.0,1
0,100,50,50,100,0.006571428571428572,0.007191836734693877,9.44099378881986,2
0,100,50,50,200,0.009746938775510203,0.010175510204081632,4.396984924623123,5
0,100,50,50,500,0.003658775510204082,0.002618775510204082,-28.424810352521195,14
0,100,50,50,1000,0.003886530612244898,0.0038326530612244896,-1.3862633900441164,19
0,100,50,50,2000,0.003037959183673469,0.0031938775510204085,5.1323391105737155,41
0,100,50,50,5000,0.0026212244897959158,0.0027209795918367316,3.805668016194319,96
0,100,50,50,10000,0.0028643265306122407,0.0029535510204081574,3.1150250797993064,143
0,100,50,50,20000,0.003814326530612251,0.003741959183673466,-1.897250965746996,392
0,100,50,50,50000,0.003816310204081629,0.004247738775510186,11.304861197266776,1124
0,100,50,50,100000,0.004726065306122449,0.004323167346938824,-8.525018870595908,2133
0,100,50,50,200000,0.003982195918367282,0.003983469387755077,0.031979074206796076,3296
0,100,50,50,500000,0.002444308571428447,0.002024573061224364,-17.171952637665168,9291
0,100,50,50,1000000,0.0030388799999999556,0.002897100408163118,-4.665521239299996,18319
0,100,100,100,1,0.0,0.0,,0
0,100,100,100,2,0.0,0.0,,0
0,100,100,100,5,0.015515151515151515,0.011757575757575757,-24.218750000000007,1
0,100,100,100,10,0.0,0.0,,0
0,100,100,100,20,0.0,0.0,,0
0,100,100,100,50,0.006218181818181818,0.003309090909090909,-46.78362573099415,1
0,100,100,100,100,0.0013636363636363635,0.0007919191919191919,-41.925925925925924,2
0,100,100,100,200,0.0046191919191919196,0.0060070707070707064,30.045921714410646,7
0,100,100,100,500,0.0029785858585858597,0.002624646464646465,-11.882799782962582,15
0,100,100,100,1000,0.00453010101010101,0.0038345454545454533,-15.354084909026072,30
0,100,100,100,2000,0.00607313131313131,0.005894848484848484,-2.935599760494943,65
0,100,100,100,5000,0.003941171717171717,0.0033892929292929294,-14.002911506602148,118
0,100,100,100,10000,0.002353111111111109,0.0023564848484848486,0.14337348363232963,200
0,100,100,100,20000,0.004654000000000011,0.0039423737373737435,-15.29063735767654,628
0,100,100,100,50000,0.0036385858585858415,0.004061066666666701,11.611126533786388,1220
0,100,100,100,100000,0.002343488888888923,0.002011111111111134,-14.183031946670472,2077
0,100,100,100,200000,0.004574556565656392,0.004890066666666678,6.897064152162561,4933
0,100,100,100,500000,0.0030016492929292138,0.0032469353535352296,8.171709505964602,10457
